delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela
DIGITALNI MARKETING,435869,DELO OD DOMA,8.61,10.0,"Podjetje išče pomoč pri urejanju spletne strani, izdelane v WordPressu. Delovne naloge: dodajanje novih storitev in posodabljanje cenika, skrb za ažurnost vsebin in optimizacija strani, priprava in objava privlačnih vsebin za družbena omrežja. Pogoja sta zanesljivost in kreativnost. CV pošljite na e-mail. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
POLNJENJE POLIC IN BLAGAJNIK,435867,ŠKOFJA LOKA,7.74,9.0,V trgovini potrebujejo več oseb za zlaganje in sortiranje izdelkov na police ter občasno delo na blagajni. ,5,PO DOGOVORU,IZMENSKO,po dogovoru
POMOČ V SKLADIŠČU IN PROD. CENTRIH,435866,MARIBOR,6.45,7.5,"Ekipa modne trgovine STRADIVARIUS MARIBOR potrebuje zanesljive, resne in fleksibilne osebe za pomoč pri prodaji in v skladišču. Delo poteka v popoldanskem času med tednom in vikendi (po potrebi in dogovoru). Prijavo na delo pošlji na e-mail. Obvezno dodaj telefonsko številko in pripiši za katero trgovino, kraj in vrsto dela gre: STRADIVARIUS MARIBOR PRODAJA. ",10,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
DELO V DELAVNICI,435865,LJUBLJANA,6.3,7.32,"Iščejo osebo za delo v delavnici. Delo s kovino, rezanje na tračni žagi in vrtanje lukenj na vrtalnem stroju. Pričetek dela ob 8. 00, potek 8-10 ur dnevno. ",1,15 DNI,DOPOLDAN,26. 8. 2024
DELO V LOGISTIKI,435864,LJUBLJANA,7.31,8.5,"Iščejo marljivega študenta/ko za delo v skladišču z zobozdravstvenimi materiali in pomoč pri logistiki. Delo obsega pripravo paketov, pospravljanje, razkladanje, nakladanje ter nasploh skrb za urejenost skladišča. Pogoji za delo so starost vsaj 20 let, znanje dela z računalnikom, natančnost, vestnost, zanesljivost in resnost. Delovnik je v dopoldanskem času cca med 8. in 16. uro. Zaželen je vozniški izpit za B kategorijo. Nudijo tudi možnost kasnejše zaposlitve. . . ne čakaj. . . pridruži se jim! :)",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
POMOČ PRI RADIOLOGIJI,435863,LJUBLJANA,8.61,10.0,"Medicinski center nudi priložnost dela študentu/ki absolventu/ki radiološke tehnologije za pomoč pri delu. V prijeten kolektiv vabijo zanesljive osebe z veseljem do dela. Možnost daljšega, občasnega sodelovanja. Nudijo možnosti kasnejše zaposlitve. Vloge s CV-ji sprejemajo po e-mailu. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,28. 8. 2024
POMOČ V OPERACIJSKI SOBI,435862,LJUBLJANA,8.61,10.0,Medicinski center nudi priložnost dela absolventu/ki zdravstvene nege (pomoč pri operativnih posegih in administrativnem delu povezanim z operativo). Možnost izobraževanja na področju anestezije oziroma inštrumentarskega dela. V prijeten kolektiv in sodobno opremljene prostore vabijo zanesljive osebe z veseljem do dela. Nudijo možnosti kasnejše redne zaposlitve. Vloge s CV-ji sprejemajo po e-mailu. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,28. 8. 2024
ADMINISTRATIVNA DELA,435861,LJUBLJANA,7.31,8.5,"Medicinski center nudi priložnost dela študentki/u absolventki/u za opravljanje administrativnega dela v sprejemni pisarni ortopedskega centra (sprejem in naročanje pacientov, komuniciranje s pacienti). Zaželeno je znanje tujega jezika in razvita odgovornost do dela. Vabijo kandidate/ke z veseljem do dela in dela z ljudmi. Možnost kasnejše redne zaposlitve. Vloge s CV-ji sprejemajo elektronsko. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,28. 8. 2024
POUČEVANJE,435860,MARIBOR,12.91,15.0,"Iščejo mentorja/ico petja za poučevanje klavirja na zasebni glasbeni šoli. Oglas je namenjen vsem osebam, ki imajo ustezno izobrazbo in izkušnje s poučevanjem iz smeri klasične ali popularne/ jazz glasbe. Iščejo kreativne in odprte glasbenike/ice, ki radi/e delajo z učenci vseh generacij, ustvarjajo in delujejo v kreativnem timu, imajo željo po lastnem razvoju na področju glasbenega izobraževanja. Prijavo oddajte preko spletnega obrazca (povezava je v kontaktu). ",1,PO DOGOVORU,PO DOGOVORU,1. 9. 2024
POMOČ V ZOBOZDRAVSTVENI ORDINACIJI,435857,MEDVODE,7.0,8.13,Pomoč v zobozdravstveni ambulanti. Iščejo študenta/študentko dentalne medicine za pomoč zobozdravnici v zobozdravstveni ambulanti. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO) OZ. PO DOGOVORU,IZMENSKO,2. 9. 2024
